2019-06-05 10:14:41,989 p=7080 u=mistral |  ansible-playbook-2 2.7.10
2019-06-05 10:15:42,482 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:138
2019-06-05 10:15:42,483 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:42 -0500 (0:00:00.029)       0:00:59.721 ******** 
2019-06-05 10:15:42,485 p=7080 u=mistral |  META: noop
2019-06-05 10:15:42,510 p=7080 u=mistral |  ok: [lab-controller-0] => {"ansible_facts": {"use_async_deployment": false}, "changed": false}
2019-06-05 10:15:42,530 p=7080 u=mistral |  TASK [Run deployment ControllerDeployment] *************************************
2019-06-05 10:15:42,530 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:142
2019-06-05 10:15:42,530 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:42 -0500 (0:00:00.047)       0:00:59.769 ******** 
2019-06-05 10:15:42,532 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,128 p=7080 u=mistral |  changed: [lab-controller-0] => {"changed": true, "cmd": "/usr/libexec/os-refresh-config/configure.d/55-heat-config\n exit $(jq .deploy_status_code /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.notify.json)", "delta": "0:00:00.490172", "end": "2019-06-05 15:15:43.122591", "rc": 0, "start": "2019-06-05 15:15:42.632419", "stderr": "[2019-06-05 15:15:42,661] (heat-config) [DEBUG] Running /usr/libexec/heat-config/hooks/hiera < /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.json\n[2019-06-05 15:15:42,826] (heat-config) [INFO] |-\n  {\"deploy_stdout\": \"\", \"deploy_stderr\": \"\", \"deploy_status_code\": 0}\n\n[2019-06-05 15:15:42,826] (heat-config) [DEBUG] \n[2019-06-05 15:15:42,826] (heat-config) [INFO] Completed /usr/libexec/heat-config/hooks/hiera\n[2019-06-05 15:15:42,827] (heat-config) [DEBUG] Running heat-config-notify /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.json < /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.notify.json\n[2019-06-05 15:15:43,116] (heat-config) [INFO] \n[2019-06-05 15:15:43,116] (heat-config) [DEBUG] ", "stderr_lines": ["[2019-06-05 15:15:42,661] (heat-config) [DEBUG] Running /usr/libexec/heat-config/hooks/hiera < /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.json", "[2019-06-05 15:15:42,826] (heat-config) [INFO] |-", "  {\"deploy_stdout\": \"\", \"deploy_stderr\": \"\", \"deploy_status_code\": 0}", "", "[2019-06-05 15:15:42,826] (heat-config) [DEBUG] ", "[2019-06-05 15:15:42,826] (heat-config) [INFO] Completed /usr/libexec/heat-config/hooks/hiera", "[2019-06-05 15:15:42,827] (heat-config) [DEBUG] Running heat-config-notify /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.json < /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.notify.json", "[2019-06-05 15:15:43,116] (heat-config) [INFO] ", "[2019-06-05 15:15:43,116] (heat-config) [DEBUG] "], "stdout": "", "stdout_lines": []}
2019-06-05 10:15:43,148 p=7080 u=mistral |  TASK [Run async deployment ControllerDeployment] *******************************
2019-06-05 10:15:43,148 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:153
2019-06-05 10:15:43,148 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.617)       0:01:00.386 ******** 
2019-06-05 10:15:43,150 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,157 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,176 p=7080 u=mistral |  TASK [Output for sync deployment ControllerDeployment] *************************
2019-06-05 10:15:43,176 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:166
2019-06-05 10:15:43,176 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.028)       0:01:00.415 ******** 
2019-06-05 10:15:43,178 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,209 p=7080 u=mistral |  ok: [lab-controller-0] => {
    "msg": [
        {
            "stderr": [
                "[2019-06-05 15:15:42,661] (heat-config) [DEBUG] Running /usr/libexec/heat-config/hooks/hiera < /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.json", 
                "[2019-06-05 15:15:42,826] (heat-config) [INFO] |-", 
                "  {\"deploy_stdout\": \"\", \"deploy_stderr\": \"\", \"deploy_status_code\": 0}", 
                "", 
                "[2019-06-05 15:15:42,826] (heat-config) [DEBUG] ", 
                "[2019-06-05 15:15:42,826] (heat-config) [INFO] Completed /usr/libexec/heat-config/hooks/hiera", 
                "[2019-06-05 15:15:42,827] (heat-config) [DEBUG] Running heat-config-notify /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.json < /var/lib/heat-config/deployed/f9cbf705-a877-4613-810a-53180e339a89.notify.json", 
                "[2019-06-05 15:15:43,116] (heat-config) [INFO] ", 
                "[2019-06-05 15:15:43,116] (heat-config) [DEBUG] "
            ]
        }, 
        {
            "status_code": "0"
        }
    ]
}
2019-06-05 10:15:43,228 p=7080 u=mistral |  TASK [Output for async deployment ControllerDeployment] ************************
2019-06-05 10:15:43,228 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:176
2019-06-05 10:15:43,228 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.052)       0:01:00.467 ******** 
2019-06-05 10:15:43,230 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,239 p=7080 u=mistral |  skipping: [lab-controller-0] => {}
2019-06-05 10:15:43,258 p=7080 u=mistral |  TASK [Check-mode for Run deployment ControllerDeployment (changed status indicates deployment would run)] ***
2019-06-05 10:15:43,258 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:186
2019-06-05 10:15:43,258 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.029)       0:01:00.497 ******** 
2019-06-05 10:15:43,260 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,269 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,289 p=7080 u=mistral |  TASK [Lookup deployment UUID] **************************************************
2019-06-05 10:15:43,289 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:1
2019-06-05 10:15:43,289 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.031)       0:01:00.528 ******** 
2019-06-05 10:15:43,291 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,324 p=7080 u=mistral |  ok: [lab-controller-0] => {"ansible_facts": {"deployment_uuid": "9385510a-9697-4190-96de-c12bd3f6fba9"}, "changed": false}
2019-06-05 10:15:43,342 p=7080 u=mistral |  TASK [Lookup deployment group] *************************************************
2019-06-05 10:15:43,342 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:5
2019-06-05 10:15:43,342 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.052)       0:01:00.581 ******** 
2019-06-05 10:15:43,344 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,376 p=7080 u=mistral |  ok: [lab-controller-0] => {"ansible_facts": {"deployment_group": "script"}, "changed": false}
2019-06-05 10:15:43,395 p=7080 u=mistral |  TASK [Create hiera check-mode directory] ***************************************
2019-06-05 10:15:43,395 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:13
2019-06-05 10:15:43,395 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.052)       0:01:00.633 ******** 
2019-06-05 10:15:43,397 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,405 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,424 p=7080 u=mistral |  TASK [Create deployed check-mode directory] ************************************
2019-06-05 10:15:43,424 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:19
2019-06-05 10:15:43,424 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.028)       0:01:00.662 ******** 
2019-06-05 10:15:43,426 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,434 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,453 p=7080 u=mistral |  TASK [Create tripleo-config-download check-mode directory] *********************
2019-06-05 10:15:43,453 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:25
2019-06-05 10:15:43,453 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.029)       0:01:00.692 ******** 
2019-06-05 10:15:43,455 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,464 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,483 p=7080 u=mistral |  TASK [Render deployment file for ControllerHostsDeployment for check-mode] *****
2019-06-05 10:15:43,483 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:31
2019-06-05 10:15:43,483 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.029)       0:01:00.722 ******** 
2019-06-05 10:15:43,485 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,494 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,512 p=7080 u=mistral |  TASK [Run hiera deployment for check mode] *************************************
2019-06-05 10:15:43,512 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:38
2019-06-05 10:15:43,512 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.028)       0:01:00.751 ******** 
2019-06-05 10:15:43,514 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,522 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,540 p=7080 u=mistral |  TASK [List hieradata files for check mode] *************************************
2019-06-05 10:15:43,541 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:54
2019-06-05 10:15:43,541 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.028)       0:01:00.779 ******** 
2019-06-05 10:15:43,542 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,551 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,569 p=7080 u=mistral |  TASK [diff hieradata changes for check mode] ***********************************
2019-06-05 10:15:43,569 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:60
2019-06-05 10:15:43,570 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.028)       0:01:00.808 ******** 
2019-06-05 10:15:43,571 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,581 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,599 p=7080 u=mistral |  TASK [diff hieradata changes for check mode] ***********************************
2019-06-05 10:15:43,599 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:73
2019-06-05 10:15:43,599 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.029)       0:01:00.838 ******** 
2019-06-05 10:15:43,601 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,613 p=7080 u=mistral |  skipping: [lab-controller-0] => {}
2019-06-05 10:15:43,634 p=7080 u=mistral |  TASK [hiera.yaml changes for check mode] ***************************************
2019-06-05 10:15:43,634 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:82
2019-06-05 10:15:43,634 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.034)       0:01:00.873 ******** 
2019-06-05 10:15:43,636 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,646 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:43,665 p=7080 u=mistral |  TASK [diff hiera.yaml changes for check mode] **********************************
2019-06-05 10:15:43,665 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:90
2019-06-05 10:15:43,665 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.031)       0:01:00.904 ******** 
2019-06-05 10:15:43,668 p=7080 u=mistral |  META: noop
2019-06-05 10:15:43,677 p=7080 u=mistral |  skipping: [lab-controller-0] => {}
2019-06-05 10:15:43,697 p=7080 u=mistral |  TASK [Render deployment file for ControllerHostsDeployment] ********************
2019-06-05 10:15:43,698 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:102
2019-06-05 10:15:43,698 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:43 -0500 (0:00:00.032)       0:01:00.936 ******** 
2019-06-05 10:15:43,700 p=7080 u=mistral |  META: noop
2019-06-05 10:15:44,000 p=7080 u=mistral |  changed: [lab-controller-0] => {"changed": true, "checksum": "f2f2053c61cd1edf773af0d4363e322d162b24ff", "dest": "/var/lib/heat-config/tripleo-config-download/ControllerHostsDeployment-9385510a-9697-4190-96de-c12bd3f6fba9", "gid": 0, "group": "root", "md5sum": "9f428352dc1177a12047b4cfd0367ff7", "mode": "0644", "owner": "root", "secontext": "system_u:object_r:var_lib_t:s0", "size": 3841, "src": "/home/tripleo-admin/.ansible/tmp/ansible-tmp-1559747743.73-218112440976010/source", "state": "file", "uid": 0}
2019-06-05 10:15:44,019 p=7080 u=mistral |  TASK [Check if deployed file exists for ControllerHostsDeployment] *************
2019-06-05 10:15:44,019 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:108
2019-06-05 10:15:44,019 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:44 -0500 (0:00:00.321)       0:01:01.258 ******** 
2019-06-05 10:15:44,021 p=7080 u=mistral |  META: noop
2019-06-05 10:15:44,122 p=7080 u=mistral |  ok: [lab-controller-0] => {"changed": false, "stat": {"exists": false}}
2019-06-05 10:15:44,141 p=7080 u=mistral |  TASK [Check previous deployment rc for ControllerHostsDeployment] **************
2019-06-05 10:15:44,141 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:113
2019-06-05 10:15:44,141 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:44 -0500 (0:00:00.122)       0:01:01.380 ******** 
2019-06-05 10:15:44,143 p=7080 u=mistral |  META: noop
2019-06-05 10:15:44,156 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:44,177 p=7080 u=mistral |  TASK [Remove deployed file for ControllerHostsDeployment when previous deployment failed] ***
2019-06-05 10:15:44,177 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:121
2019-06-05 10:15:44,177 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:44 -0500 (0:00:00.035)       0:01:01.416 ******** 
2019-06-05 10:15:44,179 p=7080 u=mistral |  META: noop
2019-06-05 10:15:44,189 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:44,208 p=7080 u=mistral |  TASK [Force remove deployed file for ControllerHostsDeployment] ****************
2019-06-05 10:15:44,209 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:131
2019-06-05 10:15:44,209 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:44 -0500 (0:00:00.031)       0:01:01.447 ******** 
2019-06-05 10:15:44,210 p=7080 u=mistral |  META: noop
2019-06-05 10:15:44,220 p=7080 u=mistral |  skipping: [lab-controller-0] => {"changed": false, "skip_reason": "Conditional result was False"}
2019-06-05 10:15:44,238 p=7080 u=mistral |  TASK [Set fact for async_deployment] *******************************************
2019-06-05 10:15:44,238 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:138
2019-06-05 10:15:44,238 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:44 -0500 (0:00:00.029)       0:01:01.477 ******** 
2019-06-05 10:15:44,240 p=7080 u=mistral |  META: noop
2019-06-05 10:15:44,265 p=7080 u=mistral |  ok: [lab-controller-0] => {"ansible_facts": {"use_async_deployment": false}, "changed": false}
2019-06-05 10:15:44,284 p=7080 u=mistral |  TASK [Run deployment ControllerHostsDeployment] ********************************
2019-06-05 10:15:44,284 p=7080 u=mistral |  task path: /var/lib/mistral/lab/deployments.yaml:142
2019-06-05 10:15:44,284 p=7080 u=mistral |  Wednesday 05 June 2019  10:15:44 -0500 (0:00:00.045)       0:01:01.523 ******** 
2019-06-05 10:15:44,286 p=7080 u=mistral |  META: noop
